"Kod";"Nazwa";"Okresy";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2011";3276;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2012";2337;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2013";2506;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2014";2408;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2015";2607;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2016";2555;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2017";2271;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2018";2356;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2019";2632;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2020";3264;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2021";3040;"zł";"";
2605000;"Powiat konecki";"1 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2010";2751;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2011";2702;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2012";2333;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2013";2705;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2014";2692;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2015";2299;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2016";2577;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2017";2518;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2018";2486;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2019";2786;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2020";3277;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2021";3039;"zł";"";
2605000;"Powiat konecki";"2 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2010";2463;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2011";2706;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2012";2506;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2013";0;"zł";"x";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2014";2195;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2015";2148;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2016";2426;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2017";2401;"zł";"";
2605000;"Powiat konecki";"3 kwartał";"ogółem";"ogółem";"2018";3011;"zł";"";
