"Kod";"Nazwa";"Okresy";"Wynagrodzenie brutto";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2010";3321,69;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2011";3450,60;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2012";3547,30;"zł";"M";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2013";3673,52;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2014";3781,29;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2015";3854,46;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2016";4029,46;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2017";4278,43;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2018";4555,26;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2019";4801,72;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2020";5165,64;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2021";5691,02;"zł";"";
0600000;"LUBELSKIE";"4 kwartał";"ogółem";"2022";;"zł";"n";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2010";3081,41;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2011";3213,70;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2012";3390,51;"zł";"M";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2013";3485,39;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2014";3601,36;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2015";3757,47;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2016";3867,86;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2017";4071,17;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2018";4347,41;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2019";4663,18;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2020";5011,66;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2021";5384,86;"zł";"";
0800000;"LUBUSKIE";"1 kwartał";"ogółem";"2022";5895,15;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2010";2989,10;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2011";3044,22;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2012";3267,98;"zł";"M";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2013";3263,88;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2014";3425,21;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2015";3488,78;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2016";3707,76;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2017";3939,20;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2018";4190,49;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2019";4434,73;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2020";4510,87;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2021";5140,86;"zł";"";
0800000;"LUBUSKIE";"2 kwartał";"ogółem";"2022";5881,54;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2010";2867,13;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2011";3141,46;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2012";3181,02;"zł";"M";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2013";3343,24;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2014";3450,76;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2015";3585,40;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2016";3754,67;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2017";3953,77;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2018";4307,92;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2019";4605,29;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2020";4865,48;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2021";5333,90;"zł";"";
0800000;"LUBUSKIE";"3 kwartał";"ogółem";"2022";6082,99;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2010";3131,01;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2011";3267,41;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2012";3386,49;"zł";"M";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2013";3433,77;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2014";3580,76;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2015";3718,20;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2016";3962,52;"zł";"";
0800000;"LUBUSKIE";"4 kwartał";"ogółem";"2017";4177,14;"zł";"";
