"Kod";"Nazwa";"Okresy";"Transakcje rynkowe";"Powierzchnia użytkowa lokali mieszkalnych";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0604000;"Powiat hrubieszowski";"2 kwartał";"ogółem";"ogółem";"2021";;"zł";"n";
0604000;"Powiat hrubieszowski";"2 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2010";2008;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2011";2220;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2012";2332;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2013";1982;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2014";2058;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2015";2401;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2016";1838;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2017";2062;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2018";2302;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2019";2283;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2020";2478;"zł";"";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2021";;"zł";"n";
0604000;"Powiat hrubieszowski";"3 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2010";2075;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2011";2149;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2012";1946;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2013";2503;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2014";2053;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2015";1988;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2016";1900;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2017";2194;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2018";2006;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2019";2541;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2020";2212;"zł";"";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2021";;"zł";"n";
0604000;"Powiat hrubieszowski";"4 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2010";0;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2011";2603;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2012";1749;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2013";1687;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2014";3170;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2015";2833;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2016";1803;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2017";0;"zł";"x";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2018";2685;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2019";2815;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2020";3387;"zł";"";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2021";;"zł";"n";
0605000;"Powiat janowski";"1 kwartał";"ogółem";"ogółem";"2022";;"zł";"n";
0605000;"Powiat janowski";"2 kwartał";"ogółem";"ogółem";"2010";0;"zł";"";
0605000;"Powiat janowski";"2 kwartał";"ogółem";"ogółem";"2011";2399;"zł";"";
